"Human Gene" "Gene"
"6136" "INTS10" "Ints10"
"6137" "PIGU" "Pigu"
"6138" "TMEM106C" "Tmem106c"
"6139" "UBE2D1" "Ube2d1"
"6140" "FBXL19" "Fbxl19"
"6141" "GEMIN8" "Gemin8"
"6142" "CCT3" "Cct3"
"6143" "PATL1" "Patl1"
"6144" "RDH16" "Rdh1"
"6145" "PAN3" "Pan3"
"6146" "TRNP1" "Trnp1"
"6147" "PLPP1" "Plpp1"
"6148" "CISD1" "Cisd1"
"6149" "RNF26" "Rnf26"
"6150" NA "Skint2"
"6151" "WNT2" "Wnt2"
"6152" "ARX" "Arx"
"6153" "CABYR" "Cabyr"
"6154" "RDH16" "Rdh9"
"6155" "FAT3" "Fat3"
"6156" "OSBP" "Osbp"
"6157" "STAMBP" "Stambp"
"6158" "RDH16" "Rdh16"
"6159" "KCNV1" "Kcnv1"
"6160" "TP53INP2" "Trp53inp2"
"6161" "POLA1" "Pola1"
"6162" "MAN1A1" "Man1a"
"6163" "RASA1" "Rasa1"
"6164" NA "Rpl39l"
"6165" "HRG" "Hrg"
"6166" "KDF1" "Kdf1"
"6167" "COL2A1" "Col2a1"
"6168" "ATF7IP2" "Atf7ip2"
"6169" "GORASP2" "Gorasp2"
"6170" "BICD1" "Bicd1"
"6171" "SYNE3" "Syne3"
"6172" NA "Gm5611"
"6173" "ORAI3" "Orai3"
"6174" NA "Skint10"
"6175" "STRA6" "Stra6"
"6176" "ACAN" "Acan"
"6177" "SF3B1" "Sf3b1"
"6178" "NUDC" "Nudc"
"6179" "MTMR1" "Mtmr1"
"6180" "LDB1" "Ldb1"
"6181" "RDH16" "Rdh19"
"6182" "ERCC1" "Ercc1"
"6183" "INTS12" "Ints12"
"6184" "RDH16" "Rdh7"
"6185" "NR0B2" "Nr0b2"
"6186" "COX7C" "Cox7c"
"6187" NA "Ptma"
"6188" "GPATCH3" "Gpatch3"
"6189" "GLMP" "Glmp"
"6190" "ZNF423" "Zfp423"
"6191" "SDR9C7" "Sdr9c7"
"6192" NA "Skint6"
"6193" "PAQR8" "Paqr8"
"6194" "IPMK" "Ipmk"
"6195" "OSBPL1A" "Osbpl1a"
"6196" "ZNF385C" "Zfp385c"
"6197" "KNG1" "Kng2"
"6198" "EFHC1" "Efhc1"
"6199" "TMEM79" "Tmem79"
"6200" "GLRX5" "Glrx5"
"6201" "HAPLN3" "Hapln3"
"6202" "CLEC4F" "Clec4f"
"6203" "TCL1B" "Tcl1b2"
"6204" "PDE6D" "Pde6d"
"6205" "RHBDF2" "Rhbdf2"
"6206" "PPA2" "Ppa2"
"6207" "CNEP1R1" "Cnep1r1"
"6208" "CD207" "Cd207"
"6209" "TCL1B" "Tcl1b1"
"6210" "PPP1R13L" "Ppp1r13l"
"6211" "GPN2" "Gpn2"
"6212" "TCL1B" "Tcl1b5"
"6213" "COQ10B" "Coq10b"
"6214" "TCL1B" "Tcl1b3"
"6215" "ASZ1" "Asz1"
"6216" "TCL1B" "Tcl1b4"
"6217" "DHX29" "Dhx29"
"6218" "TRPC5" "Trpc5"
"6219" "ESD" "Esd"
"6220" "DGKQ" "Dgkq"
"6221" "SFN" "Sfn"
"6222" "HSD17B6" "Hsd17b6"
"6223" "TCL1A" "Tcl1"
"6224" "ZDHHC18" "Zdhhc18"
"6225" "LPL" "Lpl"
"6226" "TMC4" "Tmc4"
"6227" "TRAM2" "Tram2"
"6228" "HSD3B2" "Hsd3b1"
"6229" "HSD3B1" "Hsd3b1"
"6230" "TBC1D32" "Tbc1d32"
"6231" "TUNAR" "Tunar"
"6232" "TRPC5OS" "Trpc5os"
"6233" "ALKBH5" "Alkbh5"
"6234" "EMP2" "Emp2"
"6235" "C14orf132" "D430019H16Rik"
"6236" "PCYT1B" "Pcyt1b"
"6237" "BDKRB2" "Bdkrb2"
"6238" "SMG5" "Smg5"
"6239" "KCNAB2" "Kcnab2"
"6240" "CYGB" "Cygb"
"6241" "BDKRB1" "Bdkrb1"
"6242" "RAB3GAP1" "Rab3gap1"
"6243" "ATG2B" "Atg2b"
"6244" "VAX2" "Vax2"
"6245" "TEKT5" "Tekt5"
"6246" "DHX58" "Dhx58"
"6247" "ITFG2" "Itfg2"
"6248" "CCNO" "Ccno"
"6249" "TLK1" "Tlk1"
"6250" "MCIDAS" "Mcidas"
"6251" "NUBP1" "Nubp1"
"6252" "EDIL3" "Edil3"
"6253" NA "Gm9923"
"6254" "ST6GALNAC2" "St6galnac2"
"6255" NA "Msl3l2"
"6256" "LHFPL1" "Lhfpl1"
"6257" "SLC18A1" "Slc18a1"
"6258" "GJA1" "Gja1"
"6259" "PDK3" "Pdk3"
"6260" "ZNF143" "Zfp143"
"6261" "TVP23A" "Tvp23a"
"6262" NA "St6galnac2"
"6263" "MPEG1" "Pfpl"
"6264" "KAT2A" "Kat2a"
"6265" "TMEM14A" "Tmem14a"
"6266" "PPRC1" "Pprc1"
"6267" "HAO2" "Hao2"
"6268" "ZWINT" "Zwint"
"6269" "KNG1" "Kng1"
"6270" "GSKIP" "Gskip"
"6271" "COPS7B" "Cops7b"
"6272" "AK7" "Ak7"
"6273" "FKBP4" "Fkbp4"
"6274" "ATP6V1B2" "Atp6v1b2"
"6275" "PORCN" "Porcn"
"6276" "CLOCK" "Clock"
"6277" "PAQR6" "Paqr6"
"6278" "NT5DC2" "Nt5dc2"
"6279" "RASAL2" "Rasal2"
"6280" "ATP6V1B1" "Atp6v1b1"
"6281" "FUT8" "Fut8"
"6282" "NACA" "Naca"
"6283" "NCOA6" "Ncoa6"
"6284" "CDC20B" "Cdc20b"
"6285" "TET2" "Tet2"
"6286" "HAPLN1" "Hapln1"
"6287" "LZTS1" "Lzts1"
"6288" "ISLR" "Islr"
"6289" NA "Gm10735"
"6290" "GPX8" "Gpx8"
"6291" "CHORDC1" "Chordc1"
"6292" NA "Zfp930"
"6293" "HSF2" "Hsf2"
"6294" "GZMA" "Gzma"
"6295" "CSMD3" "Csmd3"
"6296" NA "D130040H23Rik"
"6297" "HSPB9" "Hspb9"
"6298" "GMIP" "Gmip"
"6299" "FAM111A" "Fam111a"
"6300" NA "Setd1a"
"6301" "ANKRD53" "Ankrd53"
"6302" "CIITA" "Ciita"
"6303" "TEX261" "Tex261"
"6304" "GZMK" "Gzmk"
"6305" "GPHN" "Gphn"
"6306" "DOCK2" "Dock2"
"6307" NA "Gm4952"
"6308" "LRCH1" "Lrch1"
"6309" "NPPC" "Nppc"
"6310" "BGLAP" "Bglap3"
"6311" "CHN2" "Chn2"
"6312" "ESM1" "Esm1"
"6313" "HSPD1" "Hspd1"
"6314" "ISLR2" "Islr2"
"6315" "SNX18" "Snx18"
"6316" "GLYAT" "Glyat"
"6317" "PTGES3" "Ptges3"
"6318" "HSPB3" "Hspb3"
"6319" "BGLAP" "Bglap2"
"6320" "ARL15" "Arl15"
"6321" "BGLAP" "Bglap"
"6322" "WEE1" "Wee1"
"6323" "WARS2" "Wars2"
"6324" "PDCL2" "Pdcl2"
"6325" "METTL8" "Mettl8"
"6326" "DIP2C" "Dip2c"
"6327" NA "Hspe1"
"6328" "SWAP70" "Swap70"
"6329" "SERINC1" "Serinc1"
"6330" NA "Keg1"
"6331" "FLT1" "Flt1"
"6332" "GSTA5" "Gsta3"
"6333" "MFRP" "Mfrp"
"6334" "MBOAT7" "Mboat7"
"6335" "ST6GALNAC1" "St6galnac1"
"6336" "PMF1" "Pmf1"
"6337" "CNTF" "Cntf"
"6338" "ZFP91" "Zfp91"
"6339" "LLGL1" "Llgl1"
"6340" "TBX15" "Tbx15"
"6341" "LPAR2" "Lpar2"
"6342" "ZRANB3" "Zranb3"
"6343" "NOLC1" "Nolc1"
"6344" "PBX4" "Pbx4"
"6345" "ALX1" "Alx1"
"6346" "MFGE8" "Mfge8"
"6347" "TACR3" "Tacr3"
"6348" "ATP6V1D" "Atp6v1d"
"6349" "STAB1" "Stab1"
"6350" "PIGV" "Pigv"
"6351" "SLC25A44" "Slc25a44"
"6352" "EIF2S1" "Eif2s1"
"6353" "PKIB" "Pkib"
"6354" "SPAG17" "Spag17"
"6355" "CILP2" "Cilp2"
"6356" "PLEK2" "Plek2"
"6357" "ZFX" "Zfx"
"6358" "YJEFN3" "Yjefn3"
"6359" NA "Skint5"
"6360" "NDUFA13" "Ndufa13"
"6361" "TMEM229B" "Tmem229b"
"6362" "TSSK6" "Tssk6"
"6363" "NKD1" "Nkd1"
"6364" "DCAF17" "Dcaf17"
"6365" "PAPOLA" "Papola"
"6366" NA "H2-M3"
"6367" "POMP" "Pomp"
"6368" "SMOC2" "Smoc2"
"6369" NA "Skint11"
"6370" "RAB5C" "Rab5c"
"6371" "AMOT" "Amot"
"6372" "NAALAD2" "Naalad2"
"6373" "CENPE" "Cenpe"
"6374" NA "Pzp"
"6375" "TRABD2B" "Trabd2b"
"6376" "SNX20" "Snx20"
"6377" "ELOVL3" "Elovl3"
"6378" "IDUA" "Idua"
"6379" "NPHP4" "Nphp4"
"6380" "KHDC1L" "Khdc1a"
"6381" "KHDC1" "Khdc1a"
"6382" "GATAD2A" "Gatad2a"
"6383" "LPXN" "Lpxn"
"6384" "HSD3B7" "Hsd3b7"
"6385" NA "Mxra7"
"6386" "KHDC1L" "Khdc1c"
"6387" "KHDC1" "Khdc1c"
"6388" "MOB4" "Mob4"
"6389" "PITX3" "Pitx3"
"6390" "SPDL1" "Spdl1"
"6391" "TTC27" "Ttc27"
"6392" "PRR15" "Prr15"
"6393" "NAGK" "Nagk"
"6394" "LRRIQ1" "Lrriq1"
"6395" "JMJD6" "Jmjd6"
"6396" "NDUFS4" "Ndufs4"
"6397" "CD99L2" "Cd99l2"
"6398" "UBTFL1" "Ubtfl1"
"6399" "DEXI" "Dexi"
"6400" NA "Gm5612"
"6401" "MBD3L3" "Mbd3l2"
"6402" "MBD3L2B" "Mbd3l2"
"6403" "MBD3L4" "Mbd3l2"
"6404" "MBD3L2" "Mbd3l2"
"6405" "MBD3L5" "Mbd3l2"
"6406" "WDR3" "Wdr3"
"6407" "EIF4A2" "Eif4a2"
"6408" "U2SURP" "U2surp"
"6409" "KHDC1L" "Khdc1b"
"6410" "KHDC1" "Khdc1b"
"6411" "EIF3H" "Eif3h"
"6412" "DIS3L2" "Dis3l2"
"6413" "KCNH4" "Kcnh4"
"6414" "FST" "Fst"
"6415" "LRRC63" "Lrrc63"
"6416" "PAIP2B" "Paip2b"
"6417" "AJAP1" "Ajap1"
"6418" "ABHD2" "Abhd2"
"6419" "GBF1" "Gbf1"
"6420" "FAM149B1" "Fam149b"
"6421" "C1orf174" "A430005L14Rik"
"6422" "FABP7" "Fabp7"
"6423" "SLC46A3" "Slc46a3"
"6424" "CYBRD1" "Cybrd1"
"6425" "SMPDL3A" "Smpdl3a"
"6426" "NOD2" "Nod2"
"6427" "UTP23" "Utp23"
"6428" "EIF6" "Eif6"
"6429" "BDH2" "Bdh2"
"6430" "VCAN" "Vcan"
"6431" "ARID1A" "Arid1a"
"6432" "PITX3" "AW822073"
"6433" "HCRT" "Hcrt"
"6434" "SLC26A1" "Slc26a1"
"6435" "SLC6A15" "Slc6a15"
"6436" "STX1B" "Stx1b"
"6437" "RAD21" "Rad21"
"6438" "METTL23" "Mettl23"
"6439" "TSEN34" "Tsen34"
"6440" "SLIT3" "Slit3"
"6441" "WIPF3" "Wipf3"
"6442" "HELZ2" "Helz2"
"6443" "SLC9B2" "Slc9b2"
"6444" "PITX3" "Gm4981"
"6445" "AARD" "Aard"
"6446" "RFTN2" "Rftn2"
"6447" "SLC30A8" "Slc30a8"
"6448" "FTSJ1" "Ftsj1"
"6449" "TMTC2" "Tmtc2"
"6450" "DUSP1" "Dusp1"
"6451" "FLII" "Flii"
"6452" "MED30" "Med30"
"6453" "CCNA1" "Ccna1"
"6454" "MARS2" "Mars2"
"6455" "SCRN1" "Scrn1"
"6456" "EXT1" "Ext1"
"6457" NA "Gm8225"
"6458" "ALPG" "Alppl2"
"6459" "ALPI" "Alppl2"
"6460" "ALPP" "Alppl2"
"6461" "SALL1" "Sall1"
"6462" "FKBP14" "Fkbp14"
"6463" "TOX3" "Tox3"
"6464" "GCC2" "Gcc2"
"6465" "SAMD12" "Samd12"
"6466" "STX4" "Stx4a"
"6467" "ALPG" "Alpi"
"6468" "ALPI" "Alpi"
"6469" "ALPP" "Alpi"
"6470" "CFTR" "Cftr"
"6471" "TNFRSF11B" "Tnfrsf11b"
"6472" "KCNQ5" "Kcnq5"
"6473" "DFFB" "Dffb"
"6474" "COLEC10" "Colec10"
"6475" "EIF2S3B" "Eif2s3x"
"6476" "ANK1" "Ank1"
"6477" "SLC9B1" "Slc9b1"
"6478" "ITGA8" "Itga8"
"6479" "MAL2" "Mal2"
"6480" "RPS9" "Rps9"
"6481" "ENPP2" "Enpp2"
"6482" "ERGIC1" "Ergic1"
"6483" "CEP104" "Cep104"
"6484" "GHDC" "Ghdc"
"6485" "PLEKHH1" "Plekhh1"
"6486" NA "Hmgb3"
"6487" "PANK3" "Pank3"
"6488" "CISD2" "Cisd2"
"6489" "ZNF668" "Zfp668"
"6490" "GDAP2" "Gdap2"
"6491" "SRSF2" "Srsf2"
"6492" "ALPG" "Akp3"
"6493" "ALPI" "Akp3"
"6494" "ALPP" "Akp3"
"6495" "ZNF646" "Zfp646"
"6496" "LRRC47" "Lrrc47"
"6497" "PRSS53" "Prss53"
"6498" "MIEF2" "Mief2"
"6499" "KLHL15" "Klhl15"
"6500" "ZNF558" "Zfp558"
"6501" "BOLL" "Boll"
"6502" "NFKB2" "Nfkb2"
"6503" "FBLL1" "Fbll1"
"6504" "IMPACT" "Impact"
"6505" "C1QTNF5" "C1qtnf5"
"6506" "PIGH" "Pigh"
"6507" "GMEB2" "Gmeb2"
"6508" "SMIM1" "Smim1"
"6509" "XRCC4" "Xrcc4"
"6510" "BAZ2A" "Baz2a"
"6511" "RFC4" "Rfc4"
"6512" NA "Gm21974"
"6513" "PLEKHA8" "Plekha8"
"6514" "STAT5B" "Stat5b"
"6515" "ARG2" "Arg2"
"6516" "SBF2" "Sbf2"
"6517" "FGFRL1" "Fgfrl1"
"6518" "VTI1B" "Vti1b"
"6519" "CXorf58" "Fam90a1b"
"6520" "PAQR9" "Paqr9"
"6521" "ATP6V0E1" "Atp6v0e"
"6522" "FAM90A11" "Fam90a1b"
"6523" "FAM90A14" "Fam90a1b"
"6524" "FAM90A19" "Fam90a1b"
"6525" "FAM90A8" "Fam90a1b"
"6526" "FAM90A7" "Fam90a1b"
"6527" "FAM90A26" "Fam90a1b"
"6528" "FAM90A3" "Fam90a1b"
"6529" "FAM90A20" "Fam90a1b"
"6530" "FAM90A18" "Fam90a1b"
"6531" "FAM90A15" "Fam90a1b"
"6532" "FAM90A1" "Fam90a1b"
"6533" "FAM90A17" "Fam90a1b"
"6534" "FAM90A12" "Fam90a1b"
"6535" "FAM90A22" "Fam90a1b"
"6536" "FAM90A5" "Fam90a1b"
"6537" "FAM90A9" "Fam90a1b"
"6538" "FAM90A24" "Fam90a1b"
"6539" "FAM90A13" "Fam90a1b"
"6540" "FAM90A16" "Fam90a1b"
"6541" "FAM90A23" "Fam90a1b"
"6542" "FAM90A10" "Fam90a1b"
"6543" "DNAJC9" "Dnajc9"
"6544" "MBD3L1" "Mbd3l1"
"6545" "TMEM167A" "Tmem167"
"6546" "PLCL1" "Plcl1"
"6547" "SLC38A5" "Slc38a5"
"6548" "ADIPOQ" "Adipoq"
"6549" "MRPS16" "Mrps16"
"6550" "PCOLCE2" "Pcolce2"
"6551" "CCDC27" "Ccdc27"
"6552" "GRM3" "Grm3"
"6553" "HRH4" "Hrh4"
"6554" "LCP1" "Lcp1"
"6555" NA "BC106179"
"6556" "RDH11" "Rdh11"
"6557" "ZFHX4" "Zfhx4"
"6558" "R3HDM1" "R3hdm1"
"6559" "ST6GAL1" "St6gal1"
"6560" "RNF212" "Rnf212"
"6561" "ZNF521" "Zfp521"
"6562" "MUC16" "Muc16"
"6563" "STMN3" "Stmn3"
"6564" "PDZK1IP1" "Pdzk1ip1"
"6565" NA "Gm21726"
"6566" NA "Atp6ap1l"
"6567" "CREBRF" "Crebrf"
"6568" "MTURN" "Mturn"
"6569" "ZNRF2" "Znrf2"
"6570" "PML" "Pml"
"6571" "WWC1" "Wwc1"
"6572" "RPS23" "Rps23"
"6573" "MAN1A2" "Man1a2"
"6574" NA "Tmed11"
"6575" "RTP1" "Rtp1"
"6576" "CTTNBP2" "Cttnbp2"
"6577" "RDH12" "Rdh12"
"6578" "ATG10" "Atg10"
"6579" "CYP4X1" "Cyp4x1"
"6580" NA "Gm5160"
"6581" "MASP1" "Masp1"
"6582" "SS18" "Ss18"
"6583" NA "Vmn2r8"
"6584" "MOCS2" "Mocs2"
"6585" "VRK1" "Vrk1"
"6586" "PSAT1" "Psat1"
"6587" "RGS12" "Rgs12"
"6588" "BNIP1" "Bnip1"
"6589" NA "Cyp4a29"
"6590" NA "Cyp4a12a"
"6591" "MFSD11" "Mfsd11"
"6592" NA "Esp36"
"6593" "GPM6B" "Gpm6b"
"6594" "NKX2-5" "Nkx2-5"
"6595" NA "Esp34"
"6596" NA "Cyp4a12b"
"6597" "CPB2" "Cpb2"
"6598" "LSM8" "Lsm8"
"6599" NA "Esp31"
"6600" "CEP78" "Cep78"
"6601" "RTP4" "Rtp4"
"6602" "DLL1" "Dll1"
"6603" "NOD1" "Nod1"
"6604" "CYP4F11" "Cyp4a30b"
"6605" "CYP4F12" "Cyp4a30b"
"6606" "CYP4A11" "Cyp4a30b"
"6607" "CYP4A22" "Cyp4a30b"
"6608" "ZC3H13" "Zc3h13"
"6609" "LPP" "Lpp"
"6610" "STOML1" "Stoml1"
"6611" NA "Cyp4a14"
"6612" "HSFY2" "Hsfy2"
"6613" "HSFY1" "Hsfy2"
"6614" "ECEL1" "Ecel1"
"6615" "VKORC1" "Vkorc1"
"6616" NA "Esp24"
"6617" "PSD" "Psd"
"6618" "KIFC1" "Kifc5b"
"6619" "CYP4F11" "Cyp4a10"
"6620" "CYP4F12" "Cyp4a10"
"6621" "CYP4A11" "Cyp4a10"
"6622" "CYP4A22" "Cyp4a10"
"6623" "LILRB4" "Pirb"
"6624" "LILRB3" "Pirb"
"6625" "LILRA6" "Pirb"
"6626" "LILRA5" "Pirb"
"6627" "LILRB5" "Pirb"
"6628" "LILRA4" "Pirb"
"6629" "TAF2" "Taf2"
"6630" "LOXL1" "Loxl1"
"6631" "SIAH3" "Siah3"
"6632" "POTEA" "Ankrd7"
"6633" "TENM2" "Tenm2"
"6634" "PEX2" "Pex2"
"6635" NA "Gm21903"
"6636" "MCAM" "Mcam"
"6637" NA "Esp23"
"6638" "PSMA8" "Psma8"
"6639" "ERICH6B" "Erich6b"
"6640" "FAM120B" "Fam120b"
"6641" "CFAP70" "Cfap70"
"6642" "GGCT" "Ggct"
"6643" "UBXN4" "Ubxn4"
"6644" NA "Gm8797"
"6645" "TAF4B" "Taf4b"
"6646" "VTCN1" "Vtcn1"
"6647" NA "Esp18"
"6648" "CYP4F11" "Cyp4a31"
"6649" "CYP4F12" "Cyp4a31"
"6650" "CYP4A11" "Cyp4a31"
"6651" "CYP4A22" "Cyp4a31"
"6652" "KCND2" "Kcnd2"
"6653" NA "Esp16"
"6654" "DSCC1" "Dscc1"
"6655" NA "Esp15"
"6656" "PSMB1" "Psmb1"
"6657" "MGAT5B" "Mgat5b"
"6658" "PKIA" "Pkia"
"6659" "RLBP1" "Rlbp1"
"6660" NA "Esp38"
"6661" "KCTD1" "Kctd1"
"6662" "PRSS56" "Prss56"
"6663" "PGK2" "Pgk2"
"6664" NA "Gm9920"
"6665" "CYP4F11" "Cyp4a32"
"6666" "CYP4F12" "Cyp4a32"
"6667" "CYP4A11" "Cyp4a32"
"6668" "CYP4A22" "Cyp4a32"
"6669" "LTBP1" "Ltbp1"
"6670" "CATSPER3" "Catsper3"
"6671" "CCDC169" "Ccdc169"
"6672" "CLEC16A" "Clec16a"
"6673" "DEPTOR" "Deptor"
"6674" "SEC16B" "Sec16b"
"6675" "CYP4B1" "Cyp4b1"
"6676" "TSPAN12" "Tspan12"
"6677" "TRPC1" "Trpc1"
"6678" "AQP4" "Aqp4"
"6679" "LIMS1" "Lims1"
"6680" "LIMS4" "Lims1"
"6681" "LIMS3" "Lims1"
"6682" "PTER" "Pter"
"6683" NA "Gnaq"
"6684" "PITX1" "Pitx1"
"6685" "TOP3A" "Top3a"
"6686" "ZFYVE26" "Zfyve26"
"6687" "ITGA2" "Itga2"
"6688" "FBXL15" "Fbxl15"
"6689" "MRPL13" "Mrpl13"
"6690" "CLEC2D" "Clec2g"
"6691" "C1QL3" "C1ql3"
"6692" "GNA14" "Gna14"
"6693" "ZC2HC1A" "Zc2hc1a"
"6694" "RSU1" "Rsu1"
"6695" "RBMS2" "Rbms2"
"6696" "TP73" "Trp73"
"6697" "CUEDC2" "Cuedc2"
"6698" "SPATS2" "Spats2"
"6699" "TBC1D21" "Tbc1d21"
"6700" "TRIM45" "Trim45"
"6701" "COG3" "Cog3"
"6702" "KLRB1" "Klrb1f"
"6703" "ADM" "Adm"
"6704" "HAUS1" "Haus1"
"6705" "ITGA1" "Itga1"
"6706" "MAP1A" "Map1a"
"6707" "PLS1" "Pls1"
"6708" "SYTL2" "Sytl2"
"6709" "SLC25A30" "Slc25a30"
"6710" "CRHR2" "Crhr2"
"6711" "PPFIA2" "Ppfia2"
"6712" "LCT" "Lct"
"6713" "SOHLH2" "Sohlh2"
"6714" "SMCR8" "Smcr8"
"6715" "KCNH3" "Kcnh3"
"6716" "CD276" "Cd276"
"6717" "IL7" "Il7"
"6718" "STAT5A" "Stat5a"
"6719" "DYNC1I2" "Dync1i2"
"6720" NA "Vmn2r9"
"6721" "BRINP2" "Brinp2"
"6722" NA "Tpt1"
"6723" NA "3110018I06Rik"
"6724" "RAD51B" "Rad51b"
"6725" "APOO" "Apoo"
"6726" "MTUS2" "Mtus2"
"6727" "ZNF317" "Zfp317"
"6728" "CHRND" "Chrnd"
"6729" "MCRS1" "Mcrs1"
"6730" "GTF2F2" "Gtf2f2"
"6731" "STMN2" "Stmn2"
"6732" "KCTD4" "Kctd4"
"6733" NA "Gpalpp1"
"6734" "BCL11B" "Bcl11b"
"6735" "MFSD13A" "Mfsd13a"
"6736" "MCM6" "Mcm6"
"6737" "SSBP2" "Ssbp2"
"6738" "TTF2" "Ttf2"
"6739" "ANXA7" "Anxa7"
"6740" "DCAF5" "Dcaf5"
"6741" "CBL" "Cbl"
"6742" "EXD2" "Exd2"
"6743" "ACTR1A" "Actr1a"
"6744" "SATB2" "Satb2"
"6745" "CLEC2D" "Clec2e"
"6746" "GALNT16" "Galnt16"
"6747" "INMT" "Inmt"
"6748" "VPS13A" "Vps13a"
"6749" "SH3RF3" "Sh3rf3"
"6750" "CLEC2D" "Clec2d"
"6751" "FAM186B" "Fam186b"
"6752" "PSTPIP2" "Pstpip2"
"6753" "MAT2B" "Mat2b"
"6754" "CRISP3" "Crisp3"
"6755" "MAGED1" "Maged1"
"6756" "SEMA4A" "Sema4a"
"6757" "PRPF40B" "Prpf40b"
"6758" "PHF1" "Phf1"
"6759" NA "Vmn2r13"
"6760" "GLS2" "Gls2"
"6761" "HGFAC" "Hgfac"
"6762" NA "Vmn1r238"
"6763" "C2orf69" "1700066M21Rik"
"6764" "CREM" "Crem"
"6765" "RPS6KA1" "Rps6ka1"
"6766" "NUFIP1" "Nufip1"
"6767" "ERH" "Erh"
"6768" "SEC14L1" "Sec14l1"
"6769" "CD69" "Cd69"
"6770" "GSPT2" "Gspt2"
"6771" NA "Rps2-ps6"
"6772" "MSS51" "Mss51"
"6773" "PELO" "Pelo"
"6774" NA "Zxdb"
"6775" "NISCH" "Nisch"
"6776" "SLC39A9" "Slc39a9"
"6777" "ACOT12" "Acot12"
"6778" "AQP1" "Aqp1"
"6779" NA "Vmn2r14"
"6780" "CRISP3" "Crisp1"
"6781" "GHRHR" "Ghrhr"
"6782" "SPIN4" "Spin4"
"6783" "CHRNG" "Chrng"
"6784" "DOK7" "Dok7"
"6785" NA "Tmsb4x"
"6786" "ZNF121" "Zfp560"
"6787" "PLEKHD1" "Plekhd1"
"6788" "RASGRP3" "Rasgrp3"
"6789" "TLR8" "Tlr8"
"6790" "ISL1" "Isl1"
"6791" "ACSS3" "Acss3"
"6792" "TXNDC11" "Txndc11"
"6793" "REC114" "Rec114"
"6794" "ING3" "Ing3"
"6795" "TLR7" "Tlr7"
"6796" "CCDC177" "Ccdc177"
"6797" "SUSD6" "Susd6"
"6798" "SLC7A1" "Slc7a1"
"6799" "ATR" "Atr"
"6800" "HMMR" "Hmmr"
"6801" "PRPS2" "Prps2"
"6802" "CXCR4" "Cxcr4"
"6803" "ZCCHC9" "Zcchc9"
"6804" "TYW5" "Tyw5"
"6805" "DYNLT3" "Dynlt3"
"6806" "SRSF5" "Srsf5"
"6807" "CUTA" "Cuta"
"6808" "SPRYD4" "Spryd4"
"6809" "MIP" "Mip"
"6810" "NUDCD2" "Nudcd2"
"6811" "ZMYND11" "Zmynd11"
"6812" "SYTL5" "Sytl5"
"6813" "SHMT1" "Shmt1"
"6814" NA "Vmn2r17"
"6815" "ZC3H7A" "Zc3h7a"
"6816" "SOWAHC" "Sowahc"
"6817" "LIN7A" "Lin7a"
"6818" "UBL3" "Ubl3"
"6819" "TBP" "Tbp"
"6820" "MYF5" "Myf5"
"6821" "THSD7B" "Thsd7b"
"6822" "FRMPD4" "Frmpd4"
"6823" "MYF6" "Myf6"
"6824" "LRPAP1" "Lrpap1"
"6825" "PTPRQ" "Ptprq"
"6826" "FOXB2" "Foxb2"
"6827" "PRUNE2" "Prune2"
"6828" "FMNL3" "Fmnl3"
"6829" "CPED1" "Cped1"
"6830" "CCDC153" "Ccdc153"
"6831" "CCNG1" "Ccng1"
"6832" "OTOGL" "Otogl"
"6833" "CD55" "Cd55b"
"6834" "FAM98A" "Fam98a"
"6835" "ADRA2C" "Adra2c"
"6836" "DHRS7B" "Dhrs7b"
"6837" "SLC10A1" "Slc10a1"
"6838" "HMX1" "Hmx1"
"6839" "SUFU" "Sufu"
"6840" "CD55" "Cd55"
"6841" "CPZ" "Cpz"
"6842" "SRPX" "Srpx"
"6843" "SMOC1" "Smoc1"
"6844" "PDCD2" "Pdcd2"
"6845" "RSL1D1" "Rsl1d1"
"6846" "HCN4" "Hcn4"
"6847" "P4HA1" "P4ha1"
"6848" "TMEM11" "Tmem11"
"6849" "WNT16" "Wnt16"
"6850" NA "Gm8926"
"6851" "CD101" "Cd101"
"6852" "CCDC89" "Ccdc89"
"6853" "TRMT44" "Trmt44"
"6854" "NATD1" "Natd1"
"6855" "CREBZF" "Crebzf"
"6856" "DUSP10" "Dusp10"
"6857" "OLR1" "Olr1"
"6858" NA "1700056E22Rik"
"6859" "TMEM126A" "Tmem126a"
"6860" NA "Zfp26"
"6861" "MRPS28" "Mrps28"
"6862" "CRISP2" "Crisp2"
"6863" "TP63" "Trp63"
"6864" "TNNC1" "Tnnc1"
"6865" "PTGFRN" "Ptgfrn"
"6866" NA "Zp3r"
"6867" "FAM3C" "Fam3c"
"6868" "SEMA3D" "Sema3d"
"6869" "TMEM126B" "Tmem126b"
"6870" "TSC22D1" "Tsc22d1"
"6871" "ZNF426" "Zfp426"
"6872" "ARHGEF9" "Arhgef9"
"6873" "BCKDK" "Bckdk"
"6874" "CD2" "Cd2"
"6875" "SLC8A3" "Slc8a3"
"6876" NA "Ube2d3"
"6877" "HLX" "Hlx"
"6878" "RGP1" "Rgp1"
"6879" "PRDM7" "Prdm9"
"6880" NA "Hmgb1"
"6881" "EIF4E2" "Eif4e2"
"6882" "NLRX1" "Nlrx1"
"6883" "SERP2" "Serp2"
